,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
665,11.16040157,5.226398954,1.386800523,29.18880837,0,6.452797908,3,0.177897113,5.226398954,1,1,0.333333333,19.16040157,1,0,17.32080314,2,1,0.333333333,32.54000025,8.095933848,2131.385483,0.087781687,39,0.123526972,118.4103045,263.3450605,0.333333333,3.226398954,3.226398954,18.16040157,0.107713395,21.61319948,17.38680052,62.50961151,46.96240942,28.48120471,0.622567392,46.50961151,1
583,0,2,6,28,19,0,2,0.125,0,0,1,0.5,14,1,0,16,1,1,0.5,30.8950285,14.84482759,6808.303634,0.152877124,60,0.067363531,378.2390908,458.6313714,0.5,0,0,14,0.057142857,41,19,116,84,35,0.746031761,44,0
714,1.329759636,0,1.556746788,0,2.659519272,0,1,0.166666667,0,0,1,1,2.556746788,1,0,6,5.659519272,1,1,45.82318032,4.331255409,819.7132583,0.063955858,31.77301285,0.23551619,45.53962547,191.8675743,1,0,0,3.556746788,0.122341346,20.65951927,11.11349358,46.75157066,19.11349358,9.989278908,0.221626606,6,1
51,4,10,15,5,2,14,5,0.172413793,10,1,2,0.4,27,1,0,29,2,2,0.4,30.92989689,13.68067227,5788.864052,0.141047261,55,0.073095823,321.6035584,423.1417827,0.2,7,7,27,0.142857143,37,18,119,88,35,0.194444448,34,0
552,2,13,4,31,28,4,11,0.255813953,4,1,1,0.090909091,44,1,0,43,3,2,0.181818182,29.44818767,19.57352941,11282.27959,0.192134989,72,0.051089406,626.7933103,576.4049675,0.090909091,2,2,36,0.150684932,44,28,136,121,73,0.578431368,74,0
860,0,0,0,0.973386976,0.372582333,0,1,0.201330651,0,0,1,1,1,1,0,4.973386976,1.973386976,1,1,26.86313862,3.536113942,335.7979931,0.031657069,19.97338698,0.282831131,18.65544406,94.97120811,1,0,0,2,0.196155897,11.97338698,8,16.97338698,10.02661302,5.345969309,0.182930187,5.946773952,1
283,1,4,13,0,2,10,2,0.125,4,2,1,0.5,16,1,0,16,2,1,0.5,32.40179575,11.67708333,4418.123373,0.12611949,52,0.085637823,245.4512985,378.3584691,0.5,5,5,16,0.105263158,38,14,96,59,19,0.111111112,16,0
773,0,3.092823518,1.515470586,11.3403529,10.6596471,5.154705864,2.030941173,0.156930719,3.092823518,0.515470586,1,0.656352942,10.12376469,1,0,12.09282352,2,1,0.656352942,30.47533704,7.04307295,1511.076113,0.071520278,33.96905883,0.142027291,83.94867295,214.5608342,0.656352942,2.577352932,2.577352932,11.12376469,0.118724099,19.45358824,14.51547059,46.67017645,34.18564704,22.75247062,0.6503556,23.43317642,1
219,0,0,0,0,10,0,1,0.25,0,0,1,1,1,1,0,4,1,1,1,18.24342188,3.2,186.8126401,0.01945965,14,0.3125,10.37848,58.37895002,1,0,0,2,0.071428571,8,6,10,8,14,0.714285731,4,0
861,0.517136538,3.102819228,5.102819228,8.17136538,10.34273076,6.205638456,2.034273076,0.183904551,3.102819228,1.034273076,1.517136538,0.827621154,9.722774994,1,0,10.65422884,2,1.517136538,0.827621154,39.06058539,5.824501877,1325.224039,0.075827628,34.44859039,0.171740184,73.62355767,227.4828845,0.655242308,3.102819228,3.102819228,10.20563846,0.123571955,20.44859039,14,63.96268653,37.37700384,21.51409614,0.516485862,18.82559422,1
